new entry "AHZ_Custom_Spell"
type "SpellData"
data "SpellType" "Zone"
using "Zone_BreathWeapon_Acid"
data "SpellProperties" "GROUND:SurfaceChange(Freeze);GROUND:SurfaceChange(Douse);RemoveStatus(BURNING);RemoveTag(REALLY_DRAGONBORN)"
data "SpellRoll" "not SavingThrow(Ability.Constitution, CalculateSpellDC(Ability.Constitution, context.Source))"
data "SpellSuccess" "DealDamage(LevelMapValue(BreathWeapon),Cold,Magical)"
data "SpellFail" "DealDamage(LevelMapValue(BreathWeapon)/2, Cold,Magical)"
data "Icon" "Action_Dragonborn_BreathWeapon_Cold"
data "DisplayName" "hd6876f54g0aceg44f7gb092g03dc2670141f;2"
data "Description" "h41d67789g4f70g4b1egaa53g1d3f376f2075;1"
data "TooltipDamageList" "DealDamage(LevelMapValue(BreathWeapon),Cold)"
data "TooltipAttackSave" "Constitution"
data "PrepareSound" "Spell_Prepare_Damage_BreathWeapon_Cold"
data "PrepareLoopSound" "Spell_Loop_Damage_BreathWeapon_Cold"
data "CastSound" "Spell_Cast_Damage_BreathWeapon_Cold"
data "Shape" "Cone"
data "Base" ""
data "Angle" "60"
data "PrepareEffect" "d291fd4a-3ab4-4ea5-b321-5afb704da2e8"
data "CastEffect" "74e18f13-510e-4f09-a8da-a21e47a5d06d"
data "TargetEffect" "7d30207d-4c3f-4f01-8e50-aaff803e1992"
data "DamageType" "Cold"
data "TooltipStatusApply" "RemoveTag(REALLY_DRAGONBORN)"
